tau0,tauB,kappa,eta,beta,P_wash_frac,gamma_wash,lambda_wash,P_hold_frac,tau_decay_frac,W_on,W_off,P_on_frac,P_off_frac,feasible_any,stable_any,best_controller_name,best_score,best_avg_power,best_tracking_error,best_time_below,stability_mode,pruned,feasible_and_stable
0.21541520105268894,11.167641593341548,0.5360112910908392,0.3149749291644273,0.0018064860877099744,0.3210607555094547,0.5072927015820433,2.9753234277861322,0.05260494307667068,0.0525461406458009,1.1972338327722025,0.7923194170670828,0.4761459853111079,0.4261459853111079,False,False,const_Pmax,-2.2775344622861162,1.0,,1.0,unstable,True,False
2.8822430762511644,1.7132203888890085,1.0555909002612593,0.24041575709760413,0.0006220930647248663,0.4063286352419341,0.6636210466603519,2.5087355305278036,0.06180435354433664,0.2978595259851179,0.8925122158747409,0.8425122158747409,0.5521987039370971,0.5275390932647929,False,True,const_08,0.2809757624517637,0.8,0.48803242504704225,1.0,steady,False,False
0.6398109735727555,0.815813710787026,8.485169537719907,0.6535502362555095,0.0036627168226825574,0.8883919531950564,0.4192723879008051,1.5437491556565925,0.05810542066178861,0.542783995385523,1.0080920268183975,0.7039807151802826,0.4564431778536375,0.40644317785363754,True,True,const_Pmax,2.8794333254961066,1.0,1.9631640726792328,0.01860638694887242,steady,False,True
0.30830778023989325,3.720837743823778,0.0,0.969239703632826,6.894336652560457e-06,0.3396793950296433,0.8589828605577138,2.7377482324257936,0.1878958148901459,0.2042655143035077,1.093397961825132,0.9391828669054008,0.6274316170223831,0.4619136407946005,False,False,const_Pmax,-2.193573254951978,1.0,,1.0,unstable,True,False
1.5219585522277073,4.812445377470647,4.139890860403535,0.2836920774438202,0.01769063322798402,0.8059007775247198,0.798097435818333,0.29958743148218847,0.18285828860292896,0.46389146712505896,0.8092560378327787,0.7592560378327786,0.6262868082134084,0.6035187735835765,False,True,const_Pmax,1.2684839283967921,1.0,0.4739251680261125,0.08927212782145574,steady,False,False
2.9792859004986716,0.8091987622801782,4.9499807785953225,0.6647914989984406,8.36635873486776e-05,0.6212423291073959,0.9353813695664948,1.4029207698797894,0.17788241748791034,0.15478408443281325,0.9576427930372474,0.5655543465131099,0.497722900332733,0.447722900332733,True,True,const_Pmax,6.629703077264495,1.0,4.828965821692693,0.012946729602157788,steady,False,True
0.23874017768237932,15.748886114225973,0.4731188645722131,0.8028036504002063,0.01380263427365526,0.3946793498100415,0.20208810164547797,0.5572984046132615,0.38930799588823295,0.20342021316055478,0.9037759359418137,0.5225865584947131,0.6888948041957684,0.6388948041957684,False,False,const_Pmax,-2.1567360021837882,1.0,,1.0,unstable,True,False
1.009272420521842,1.380942036230898,0.0,0.40194903243966984,2.4273586368066552e-05,0.7353624868250639,0.8767107972646193,2.7049255606993152,0.6899695953629901,0.9485462813782921,1.1811996531071927,0.5359110702514422,0.48267612155668316,0.31312656853322307,False,True,const_08,0.03624109013550467,0.7999999999999999,0.7205460536852936,1.0,steady,False,False
0.6379204320618492,0.16716641577536753,5.1361016794110945,0.633891521841764,5.9812637001729835e-06,0.3772788320801381,0.16031202498225805,2.555799473384396,0.42974810903979177,0.45226756229957893,0.9184131451640103,0.6856263185441386,0.6429129786559202,0.6320104802208244,False,True,const_08,0.7103207181504995,0.7999999999999999,0.06623464033126779,0.07383055191820131,steady,False,False
1.7525724470734674,0.2991466407488485,0.5229159990176631,0.9168976659389043,2.9631669936366514e-06,0.3851778678059178,0.846478536067957,0.5384762170382623,0.31881915535148037,0.19242010504134693,0.8981035892092839,0.8551226006679933,0.9108007896413223,0.7122025978989003,True,True,const_Pmax,1.4780942752781665,1.0,0.7436135726943104,0.01313723046242054,steady,False,True
0.23856915692041136,1.6653391062292207,0.9262202202619161,0.3290032502815393,0.026128900513320907,0.8215921800239059,0.7773587133276922,1.5529845638631872,0.36889514508271665,0.2444471657071135,1.0146272054308356,0.7172815423488452,0.4790528997352405,0.1879646970079752,False,True,pulse_1,-0.0584529024861719,0.2799347925488559,0.9726206849830835,1.0,steady,False,False
4.01300255302888,1.2857816890618508,0.6371988893409304,0.6435332416319468,9.463616719871112e-06,0.37722922428862105,0.030054578761178785,0.35685993222063395,0.6459514649589772,0.13100687005894754,1.0432516847658366,0.7325070659946364,0.640270747147167,0.4723202639422477,True,True,const_Pmax,3.138419166380822,1.0,2.1754781434303423,0.014463252624812514,steady,False,True
0.11842622712819457,18.828131563565275,9.127472227561524,0.575007437611162,5.2283543156764305e-06,0.8444661007914975,0.34138706738172764,0.1503200690908013,0.2725623899269086,0.5402346442870478,1.0490834979952832,0.8754192923724298,0.8761812303174265,0.24836822775637984,False,True,const_Pmax,0.25315185662171763,1.0,0.5784995408779443,1.0,steady,False,False
